symbol,name,sector,cap,angel_token
SONACOMS,Sona BLW Precision Forgings Ltd.,Auto,Small,543300
SONATSOFTW,Sonata Software Ltd.,IT,Small,532305
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,Small,532524
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,Small,543419
STLTECH,Sterlite Technologies Ltd.,Telecom,Small,532374
SUDARSCHEM,Sudarshan Chemical,Chemicals,Small,3442
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,Small,500355
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,Small,590071
SUNDRMFAST,Sundram Fasteners Ltd.,Auto,Small,520057
SUNTECK,Sunteck Realty Ltd.,Real Estate,Small,512179
SUNTV,Sun TV Network Ltd.,Retail,Small,532733
SUPRAJIT,Suprajit Engineering,Auto,Small,3372
SUPRIYA,Supriya Lifescience,Healthcare,Small,543611
SUVENPHAR,Suven Pharmaceuticals Ltd.,Healthcare,Small,530239
SUZLON,Suzlon Energy Ltd.,Engineering,Small,532667
SWANENERGY,Swan Energy Ltd.,Engineering,Small,543498
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Engineering,Small,543243
SYNGENE,Syngene International Ltd.,Healthcare,Small,539268
SYRMA,Syrma SGS Technology Ltd.,Engineering,Small,543573
TANLA,Tanla Platforms Ltd.,IT,Small,532790
TATACOMM,Tata Communications Ltd.,Telecom,Small,3523
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,Small,500413
TATATECH,Tata Technologies Ltd.,IT,Small,543533
TBOTEK,TBO Tek Ltd.,New Age Tech,Small,543413
TEJASNET,Tejas Networks Ltd.,Telecom,Small,533213
TIMKEN,Timken India Ltd.,Engineering,Small,522113
TITAGARH,Titagarh Rail Systems,Engineering,Small,540483
TMB,Tamilnad Mercantile Bank Ltd.,Financial Services,Small,532542
TRIDENT,Trident Ltd.,Retail,Small,521064
TRITURBINE,Triveni Turbine Ltd.,Engineering,Small,533161
TRIVENI,Triveni Engineering & Industries Ltd.,FMCG,Small,532356
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecom,Small,532371
TVSMOTOR,TVS Motor Company Ltd.,Auto,Small,532343
TVSSCS,TVS Supply Chain Solutions Ltd.,Logistics,Small,532343
UBL,United Breweries Ltd.,FMCG,Small,532478
UCOBANK,UCO Bank,Financial Services,Small,532505
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,Small,542904
UPL,UPL Ltd.,Chemicals,Small,2142
USHAMART,Usha Martin Ltd.,Engineering,Small,505400
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,Small,543959
VAIBHAVGBL,Vaibhav Global Ltd.,Retail,Small,534392
VARROC,Varroc Engineering Ltd.,Auto,Small,541578
VGUARD,V-Guard Industries Ltd.,Retail,Small,532953
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,Small,532564
VIPIND,V.I.P. Industries Ltd.,Retail,Small,507880
VMART,V-Mart Retail,Retail,Small,534976
VTL,Vardhman Textiles Ltd.,Retail,Small,522122
WELCORP,Welspun Corp,Metals,Small,532144
WELSPUNLIV,Welspun Living Ltd.,Retail,Small,514162
WESTLIFE,Westlife Foodworld Ltd.,Retail,Small,505533
WHIRLPOOL,Whirlpool of India Ltd.,Engineering,Small,500238
YESBANK,Yes Bank Ltd.,Financial Services,Small,3631
ZEEL,Zee Entertainment Enterprises Ltd.,Retail,Small,3816
ZENSARTECH,Zensar Technologies,IT,Small,4243
ZENTEC,Zen Technologies,Defence,Small,543459
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Auto,Small,505163
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,Small,539744
